Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,10,Female,16,Right-Handed,5'2,6 1/2,idk ,1,Car,10,0.503,52,,100,50,80,70,0,90,6 1/2,Same length,63,63 .5,Ring finger,April,Summer,No,Yes,Pizza/Pasta,Water,Other,8.0,13.0,3,Yes - broadband connection,Text messaging,300,50,5 hrs,1 hr ,1 hr ,1 hr ,1 hr ,1 hr ,20 hr,19 hr,24 hr,22 hr,0,2 hr,Some,Other,Rhythm and blues (R&B),Freeze time,Healthy,Relative,Health
USA,NY,2018,11,Male,17,Right-Handed,175.2,28,185.6,1,Rail (Train/Tram/Subway),45,0.337,46,Basketball,100,10,75,90,100,100,27.8,Right foot,10.8,11.6,Ring finger,February,Summer,Yes,No,No favorite,Water,Physical education,8.0,9.0,2,Yes - other,Internet chat or instant messaging,100,100,50,15,0,1,18,21,100,100,100,12,0,2,,Graduate degree,Rap/Hip hop,Fly,Happy,Musician or singer,Education/Youth development
USA,NY,2023,12,Female,19,Right-Handed,161,23,160,2,Car,12,0.281,32,Baseball/Softball,690,695,695,711,856,856,24,Left foot,70,76,Ring finger,April,Spring,No,No,Poultry,Water,Computers and technology,8.0,7.0,4,Yes - other,In person,12,10,1,1,15,6,2,10,1,1,25,0,45,2,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,NY,2016,12,Male,17,Right-Handed,186,29,194,1,Walk,20,0.416,54,Basketball,500,500,500,500,500,500,29,Same length,113,130,Ring finger,December,Summer,No,No,Rice/Noodle dishes,Juice,Other,8.0,9.0,3,Yes - broadband connection,Text messaging,10,10,30,,,,,,,,,,,,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Business person,International aid
USA,NY,2016,12,Male,16,Right-Handed,,26.5,187,1,Car,60,0.774,46,Tennis,,,,,,,27,Left foot,,95,Index finger,December,Spring,No,No,Desserts,Juice,Music,8.5,5.0,4,Yes - broadband connection,In person,250,300,5,2.5,10,42,10,0,3,5,5,1,0,4,A lot,Graduate degree,Gospel,Invisibility,Happy,Doctor or nurse,International aid
USA,NY,2019,5,Female,11,Ambidextrous,,21,,5,Bus,35,0.709,50,Martial Arts,100,1000,1000,1000,100,10000,21,Same length,7,8,Ring finger,January,Summer,Yes,No,No favorite,Tea,Music,11.0,12.0,8or9,Yes - other,In person,0,0,2,2,9,8,2,Onwk, Onwk,2,2,9,24-7,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Musician or singer,International aid
USA,NY,2018,12,Male,17,Right-Handed,171,25.5,172,2,Rail (Train/Tram/Subway),40,0.363,45,Other,700,650,750,800,1000,1000,24.5,Right foot,100,105,Ring finger,August,Spring,No,No,Seafood,Soft drink (caffeinated),Mathematics and statistics,7.0,8.0,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,20,21,2,28,24,10,40,40,40,40,30,0,17,Some,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Business person,Education/Youth development
USA,NY,2011,5,Female,11,Right-Handed,147,22,144,2,Bus,20,2.06,67,Running/Jogging,893,893,834,,251,193,23,Left foot,65,70,Ring finger,January,Summer,Yes,No,Desserts,Juice,Art,7.0,10.0,5,Yes - broadband connection,Telephone,1,1,10,3,5,6,7,7,1,2,3,8,1,2,Very little,Undergraduate degree,Pop,Fly,Famous,Musician or singer,"Wildlife, animals"
USA,NY,2021,12,Female,17,Right-Handed,60,22,93,2,Bus,20,0.403,50,Running/Jogging,700,700,900,900,500,1000,22,Same length,800,700,Index finger,October,Fall,No,No,Fruit,Water,Mathematics and statistics,7.0,8.0,5,Yes - broadband connection,Text messaging,20,15,0.5,0,0.5,3,0,6,2,0,8,0,0,1,Some,Undergraduate degree,Other,Fly,Happy,Teacher,"Wildlife, animals"
USA,NY,2020,6,Male,11,Ambidextrous,142,,,1,Walk,8,0.322,29,Basketball,10000,10000,1000,1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
